Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58263040,"King of Flesh and Bone (The Pale Court, #1)",Liv Zander,"Zander, Liv",,"=""""","=""""",0,3.68,,Kindle Edition,250,2022,2022,,2023/12/21,"to-read, spicy, romance, series, fantasy","to-read (#195), spicy (#46), romance (#120), series (#139), fantasy (#147)",to-read,,,,0,0
54164103,Kingdom of Villains,Ella Fields,"Fields, Ella",,"=""""","=""""",0,3.71,,,,2022,,,2023/12/21,"to-read, spicy, fae, romance, fantasy","to-read (#194), spicy (#45), fae (#27), romance (#119), fantasy (#146)",to-read,,,,0,0
52735921,"Kingdom of the Wicked (Kingdom of the Wicked, #1)",Kerri Maniscalco,"Maniscalco, Kerri",,"=""0316428469""","=""9780316428460""",0,3.90,Jimmy Patterson Books,Hardcover,372,2020,2020,,2023/12/21,"to-read, fantasy, romance, series","to-read (#193), fantasy (#145), romance (#118), series (#138)",to-read,,,,0,0
42893340,"The Kinder Poison (The Kinder Poison, #1)",Natalie Mae,"Mae, Natalie",,"=""1984835211""","=""9781984835215""",0,3.90,Razorbill,Hardcover,416,2020,2020,,2023/12/21,"to-read, pirates, romance, series, fantasy, young-adult","to-read (#192), pirates (#7), romance (#117), series (#137), fantasy (#144), young-adult (#73)",to-read,,,,0,0
50523477,"The Jasmine Throne (The Burning Kingdoms, #1)",Tasha Suri,"Suri, Tasha",,"=""0356515648""","=""9780356515649""",0,4.14,Orbit,Paperback,533,2021,2021,,2023/12/21,"to-read, fantasy, romance, series","to-read (#191), fantasy (#143), romance (#116), series (#136)",to-read,,,,0,0
56645963,Jade Fire Gold,June C.L. Tan,"Tan, June C.L.",,"=""0063056364""","=""9780063056367""",0,3.72,HarperTeen,Hardcover,464,2021,2021,,2023/12/21,"to-read, asian, fantasy, romance","to-read (#190), asian (#10), fantasy (#142), romance (#115)",to-read,,,,0,0
43587154,"Jade City (The Green Bone Saga, #1)",Fonda Lee,"Lee, Fonda",,"=""0316440884""","=""9780316440882""",0,4.11,Orbit,Paperback,560,2018,2017,,2023/12/21,"to-read, urban-fantasy, series","to-read (#189), urban-fantasy (#29), series (#135)",to-read,,,,0,0
9533378,"Hounded (The Iron Druid Chronicles, #1)",Kevin Hearne,"Hearne, Kevin",,"=""0345522478""","=""9780345522474""",0,4.09,Del Rey,Mass Market Paperback,304,2011,2011,,2023/12/21,"to-read, urban-fantasy, series","to-read (#188), urban-fantasy (#28), series (#134)",to-read,,,,0,0
21416690,"The Invisible Library (The Invisible Library, #1)",Genevieve Cogman,"Cogman, Genevieve",,"=""1447256239""","=""9781447256236""",0,3.74,Tor UK,Paperback,329,2015,2014,,2023/12/21,"to-read, urban-fantasy, series","to-read (#187), urban-fantasy (#27), series (#133)",to-read,,,,0,0
36571337,"Into the Crooked Place (Into the Crooked Place, #1)",Alexandra Christo,"Christo, Alexandra",,"=""1250318378""","=""9781250318374""",0,3.44,Feiwel and Friends ,Hardcover,384,2019,2019,,2023/12/21,"to-read, young-adult, series, fantasy, heist","to-read (#186), young-adult (#72), series (#132), fantasy (#141), heist (#11)",to-read,,,,0,0
156787231,"I Married a Lizardman (Prime Mating Agency, #1)",Regine Abel,"Abel, Regine",,"=""""","=""""",0,4.02,,Kindle Edition,228,2023,2021,,2023/12/21,"to-read, spicy, stand-alone-series, romance, fantasy","to-read (#185), spicy (#44), stand-alone-series (#23), romance (#114), fantasy (#140)",to-read,,,,0,0
61319660,"The Hunter (Monsters and Beauties, #2)",Jenika Snow,"Snow, Jenika",,"=""""","=""""",0,3.52,Jenika Snow,Kindle Edition,150,2022,2022,,2023/12/21,"to-read, fairytale-retelling, spicy, romance, stand-alone-series, wolves","to-read (#184), fairytale-retelling (#25), spicy (#43), romance (#113), stand-alone-series (#22), wolves (#13)",to-read,,,,0,0
46223341,"Hunted by the Sky (The Wrath of Ambar, #1)",Tanaz Bhathena,"Bhathena, Tanaz",,"=""0374313091""","=""9780374313098""",0,3.85,"Farrar, Straus and Giroux",Hardcover,384,2020,2020,,2023/12/21,"to-read, fantasy, series, romance, young-adult","to-read (#183), fantasy (#139), series (#131), romance (#112), young-adult (#71)",to-read,,,,0,0
199172542,"Howl for the Gargoyle (Monster Smash Agency, #2)",Kathryn  Moon,"Moon, Kathryn",,"=""""","=""""",0,4.37,,Kindle Edition,291,2023,2023,,2023/12/21,"to-read, stand-alone-series, spicy, wolves, romance, fantasy","to-read (#182), stand-alone-series (#21), spicy (#42), wolves (#12), romance (#111), fantasy (#138)",to-read,,,,0,0
54613751,House of Hollow,Krystal Sutherland,"Sutherland, Krystal",,"=""059311034X""","=""9780593110348""",0,4.04,G.P. Putnam's Sons Books for Young Readers,Hardcover,292,2021,2021,,2023/12/21,"to-read, urban-fantasy","to-read (#181), urban-fantasy (#26)",to-read,,,,0,0
62649010,"House of Roots and Ruin (Sisters of the Salt, #2)",Erin A. Craig,"Craig, Erin A.",,"=""0593482557""","=""9780593482551""",0,4.18,Delacorte Press,Library Binding,544,2023,2023,,2023/12/21,"to-read, stand-alone-series, romance, historical, young-adult","to-read (#180), stand-alone-series (#20), romance (#110), historical (#13), young-adult (#70)",to-read,,,,0,0
44778083,"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635574048""","=""9781635574043""",0,4.48,Bloomsbury Publishing,Hardcover,803,2020,2020,,2023/12/21,"to-read, urban-fantasy, series, romance","to-read (#179), urban-fantasy (#25), series (#130), romance (#109)",to-read,,,,0,0
44603554,"House of Dragons (House of Dragons, #1)",Jessica Cluess,"Cluess, Jessica",,"=""0525648151""","=""9780525648154""",0,3.87,Random House Books for Young Readers,Hardcover,448,2020,2020,,2023/12/21,"to-read, pirates, fantasy, series, young-adult","to-read (#178), pirates (#6), fantasy (#137), series (#129), young-adult (#69)",to-read,,,,0,0
58175788,"House of Beating Wings (The Kingdom of Crows, #1)",Olivia Wildenstein,"Wildenstein, Olivia",,"=""1948463555""","=""9781948463553""",0,4.12,Olivia Wildenstein,Hardcover,490,2022,2022,,2023/12/21,"to-read, fae, fantasy, romance, spicy, series","to-read (#177), fae (#26), fantasy (#136), romance (#108), spicy (#41), series (#128)",to-read,,,,0,0
